ZIPCODE,IDS,POSICIÓN,POPULATION_2016,EXTENSION,DENSITY,REGION
70404,16.16,481,7633,2223.26,3.43,HUETAR CARIBE
21001,72.63,128,44214,145.31,304.27,HUETAR NORTE
21005,63.02,241,10950,145.19,75.42,HUETAR NORTE
21009,62.69,246,7256,125.41,57.86,HUETAR NORTE
21008,62.4,251,7332,60.28,121.63,HUETAR NORTE
21007,61.2,264,17809,225,79.15,HUETAR NORTE
21004,60.56,266,23509,159.4,147.48,HUETAR NORTE
21002,60,278,17116,182.15,93.97,HUETAR NORTE
20213,57.91,298,11385,249.9,45.56,HUETAR NORTE
20114,56.08,318,3669,112.9,32.5,HUETAR NORTE
21304,55.42,325,5140,178.69,28.76,HUETAR NORTE
21012,55.06,333,4010,220.12,18.22,HUETAR NORTE
21003,54.53,340,374,37.37,10.01,HUETAR NORTE
21503,52.4,356,1058,183.74,5.76,HUETAR NORTE
21504,52.28,360,6061,113.38,53.46,HUETAR NORTE
21301,51.58,367,15102,139.39,108.34,HUETAR NORTE
21006,51.27,374,21823,375.43,58.13,HUETAR NORTE
41003,50.37,383,30696,566.44,54.19,HUETAR NORTE
21302,49.88,390,5533,407.64,13.57,HUETAR NORTE
21308,47.74,404,4353,106.23,40.98,HUETAR NORTE
41002,47.57,406,14104,513.65,27.46,HUETAR NORTE
21013,46.92,409,18006,631.55,28.51,HUETAR NORTE
21011,46.89,410,13500,873.02,15.46,HUETAR NORTE
21306,46.69,414,3733,217.93,17.13,HUETAR NORTE
21501,45.67,424,9322,304.1,30.65,HUETAR NORTE
21402,45.45,427,2170,298.52,7.27,HUETAR NORTE
21401,45.39,428,18196,535.93,33.95,HUETAR NORTE
21010,45.04,431,2054,167.75,12.24,HUETAR NORTE
20306,44.75,434,14478,254.2,56.96,HUETAR NORTE
21404,44.53,435,3191,213.76,14.93,HUETAR NORTE
21307,42.96,444,3833,147.64,25.96,HUETAR NORTE
21305,41.99,451,5153,97.65,52.77,HUETAR NORTE
21403,40.71,454,7258,310.65,23.36,HUETAR NORTE
21502,38.3,462,1864,157.1,11.87,HUETAR NORTE
21303,36.81,464,8351,285.5,29.25,HUETAR NORTE
41001,36.67,466,26505,426.73,62.11,HUETAR NORTE
41004,19.27,480,1741,266.21,6.54,HUETAR NORTE
41005,8.55,482,1348,367.51,3.67,HUETAR NORTE
20403,76.2,87,1399,18.22,76.78,PACÍFICO CENTRAL
60203,74.93,98,4935,33.51,147.27,PACÍFICO CENTRAL
20401,74.26,107,2992,64.89,46.11,PACÍFICO CENTRAL
20901,73.82,112,10119,19.99,506.2,PACÍFICO CENTRAL
